propuesta,tipo,instituciones,programas,matricula,n_variantes,variantes,revisar,firma
NEUROCIRUGIA,Médica,7,7,75,1,NEUROCIRUGIA,,NEUROCIRUGIA
GERIATRIA,Médica,3,3,72,1,GERIATRIA,,GERIATRIA
IMAGENOLOGIA,Médica,4,5,70,1,IMAGENOLOGIA,,IMAGENOLOGIA
TRASTORNOS TEMPOROMANDIBULARES Y DOLOR OROFACIAL,Médica,5,5,63,1,TRASTORNOS TEMPOROMANDIBULARES Y DOLOR OROFACIAL,,DOLOR OROFACIAL TEMPOROMANDIBULAR TRASTORNO
NEUROLOGIA PEDIATRICA,Médica,3,3,59,1,NEUROLOGIA PEDIATRICA,,NEUROLOGIA PEDIATRICA
CIRUGIA PEDIATRICA,Médica,6,6,57,1,CIRUGIA PEDIATRICA,,CIRUGIA PEDIATRICA
TRAUMATOLOGIA Y ORTOPEDIA ADULTOS,Médica,1,1,49,1,TRAUMATOLOGIA Y ORTOPEDIA ADULTOS,una sola institución: puede ser un duplicado sin unir,ADULTO ORTOPEDIA TRAUMATOLOGIA
MEDICINA GENERAL FAMILIAR,Médica,1,1,49,1,MEDICINA GENERAL FAMILIAR,una sola institución: puede ser un duplicado sin unir,FAMILIAR GENERAL MEDICINA
MEDICINA INTENSIVA DEL ADULTO,Médica,2,2,48,1,MEDICINA INTENSIVA DEL ADULTO,,ADULTO INTENSIVA MEDICINA
PSIQUIATRIA,Médica,3,3,46,1,PSIQUIATRIA,,PSIQUIATRIA
MEDICINA FISICA Y REHABILITACION,Médica,3,3,45,1,MEDICINA FISICA Y REHABILITACION,,FISICA MEDICINA REHABILITACION
PEDIATRIA GENERAL,Médica,3,3,44,1,PEDIATRIA GENERAL,,GENERAL PEDIATRIA
FORMACION ESPECIALISTAS EN MEDICINA FAMILIAR Y COMUNITARIA,Médica,1,1,43,1,FORMACION ESPECIALISTAS EN MEDICINA FAMILIAR Y COMUNITARIA,quedan palabras administrativas,COMUNITARIA ESPECIALISTA FAMILIAR FORMACION MEDICINA
RADIOLOGIA E IMAGENOLOGIA,Médica,4,4,38,2,RADIOLOGIA E IMAGENOLOGIA | RADIOLOGIA IMAGENOLOGIA,unió varias formas: confirmar que sean la misma,IMAGENOLOGIA RADIOLOGIA
ONCOLOGIA MEDICA,Médica,4,4,38,1,ONCOLOGIA MEDICA,,MEDICA ONCOLOGIA
PSIQUIATRIA ADULTA,Médica,1,2,37,1,PSIQUIATRIA ADULTA,una sola institución: puede ser un duplicado sin unir,ADULTA PSIQUIATRIA
CARDIOLOGIA,Médica,3,3,35,1,CARDIOLOGIA,,CARDIOLOGIA
PSIQUIATRIA Y SALUD MENTAL,Médica,1,1,35,1,PSIQUIATRIA Y SALUD MENTAL,una sola institución: puede ser un duplicado sin unir,MENTAL PSIQUIATRIA SALUD
PSIQUIATRIA DEL NINO Y DEL ADOLESCENTE,Médica,3,3,34,1,PSIQUIATRIA DEL NINO Y DEL ADOLESCENTE,,ADOLESCENTE NINO PSIQUIATRIA
MEDICO ESPECIALISTA EN CIRUGIA GENERAL,Médica,1,1,34,1,MEDICO ESPECIALISTA EN CIRUGIA GENERAL,quedan palabras administrativas,CIRUGIA ESPECIALISTA GENERAL MEDICO
FISIATRIA,Médica,1,1,34,1,FISIATRIA,una sola institución: puede ser un duplicado sin unir,FISIATRIA
CIRUGIA,Médica,2,2,33,1,CIRUGIA,,CIRUGIA
MEDICINA DEL DEPORTE Y LA ACTIVIDAD FISICA,Médica,2,2,31,1,MEDICINA DEL DEPORTE Y LA ACTIVIDAD FISICA,,ACTIVIDAD DEPORTE FISICA MEDICINA
SUBESPECIALIDAD MEDICA EN MEDICINA INTENSIVA DEL ADULTO,Médica,2,2,29,2,DE SUBESPECIALIDAD MEDICA EN MEDICINA INTENSIVA DEL ADULTO | SUBESPECIALIDAD MEDICA EN MEDICINA INTENSIVA DEL ADULTO,unió varias formas: confirmar que sean la misma,ADULTO INTENSIVA MEDICA MEDICINA SUBESPECIALIDAD
GASTROENTEROLOGIA,Médica,2,2,29,1,GASTROENTEROLOGIA,,GASTROENTEROLOGIA
TRAUMATOLOGIA Y ORTOPEDIA INFANTIL,Médica,2,2,29,2,ORTOPEDIA Y TRAUMATOLOGIA INFANTIL | TRAUMATOLOGIA Y ORTOPEDIA INFANTIL,unió varias formas: confirmar que sean la misma,INFANTIL ORTOPEDIA TRAUMATOLOGIA
MEDICINA FAMILIAR COMUNITARIA,Médica,2,2,28,2,MEDICINA FAMILIAR COMUNITARIA | MEDICINA FAMILIAR Y COMUNITARIA,unió varias formas: confirmar que sean la misma,COMUNITARIA FAMILIAR MEDICINA
MEDICINA DE URGENCIA Y EMERGENCIA,Médica,1,1,25,1,MEDICINA DE URGENCIA Y EMERGENCIA,una sola institución: puede ser un duplicado sin unir,EMERGENCIA MEDICINA URGENCIA
ENFERMERIA ONCOLOGICA DEL ADULTO,Médica,1,1,24,1,ENFERMERIA ONCOLOGICA DEL ADULTO,una sola institución: puede ser un duplicado sin unir,ADULTO ENFERMERIA ONCOLOGICA
ENFERMERIA ONCOLOGICA,Médica,1,1,22,1,ENFERMERIA ONCOLOGICA,una sola institución: puede ser un duplicado sin unir,ENFERMERIA ONCOLOGICA
DERMATOLOGIA Y VENEREOLOGIA,Médica,1,1,21,1,DERMATOLOGIA Y VENEREOLOGIA,una sola institución: puede ser un duplicado sin unir,DERMATOLOGIA VENEREOLOGIA
HEMATOLOGIA,Médica,2,2,19,1,HEMATOLOGIA,,HEMATOLOGIA
NEONATOLOGIA,Médica,4,4,18,1,NEONATOLOGIA,,NEONATOLOGIA
REUMATOLOGIA,Médica,1,1,17,1,REUMATOLOGIA,una sola institución: puede ser un duplicado sin unir,REUMATOLOGIA
MEDICINA DE URGENCIA DE ADULTOS,Médica,1,1,16,1,MEDICINA DE URGENCIA DE ADULTOS,una sola institución: puede ser un duplicado sin unir,ADULTO MEDICINA URGENCIA
NEFROLOGIA,Médica,1,1,16,1,NEFROLOGIA,una sola institución: puede ser un duplicado sin unir,NEFROLOGIA
SALUD PUBLICA,Médica,2,2,16,1,SALUD PUBLICA,,PUBLICA SALUD
SUBESPECIALIDAD MEDICA EN GASTROENTEROLOGIA,Médica,2,2,15,2,DE SUBESPECIALIDAD MEDICA EN GASTROENTEROLOGIA | SUBESPECIALIDAD MEDICA EN GASTROENTEROLOGIA,unió varias formas: confirmar que sean la misma,GASTROENTEROLOGIA MEDICA SUBESPECIALIDAD
MEDICINA INTENSIVA DEL ADULTO MODELO 4 ANOS,Médica,1,1,14,1,MEDICINA INTENSIVA DEL ADULTO MODELO 4 ANOS,una sola institución: puede ser un duplicado sin unir,4 ADULTO ANO INTENSIVA MEDICINA MODELO
CUIDADOS CRITICOS DEL NINO Y ADOLESCENTE,Médica,1,1,14,1,CUIDADOS CRITICOS DEL NINO Y ADOLESCENTE,una sola institución: puede ser un duplicado sin unir,ADOLESCENTE CRITICO CUIDADO NINO
GENETICA CLINICA,Médica,2,2,14,1,GENETICA CLINICA,,CLINICA GENETICA
NEONATOLOGIA EN PACIENTES CRITICOS,Médica,1,1,14,1,NEONATOLOGIA EN PACIENTES CRITICOS,una sola institución: puede ser un duplicado sin unir,CRITICO NEONATOLOGIA PACIENT
INMUNOLOGIA,Médica,1,1,14,1,INMUNOLOGIA,una sola institución: puede ser un duplicado sin unir,INMUNOLOGIA
ENFERMERIA EN CUIDADOS INTENSIVOS DEL ADULTO,Médica,1,1,13,1,ENFERMERIA EN CUIDADOS INTENSIVOS DEL ADULTO,una sola institución: puede ser un duplicado sin unir,ADULTO CUIDADO ENFERMERIA INTENSIVO
FORMACION MEDICO ESPECIALISTA ORTOPEDIA Y TRAUMATOLOGIA ADULTO,Médica,1,1,13,1,FORMACION MEDICO ESPECIALISTA ORTOPEDIA Y TRAUMATOLOGIA ADULTO,quedan palabras administrativas,ADULTO ESPECIALISTA FORMACION MEDICO ORTOPEDIA TRAUMATOLOGIA
HEMATOLOGIA ONCOLOGICA PEDIATRICA,Médica,1,1,13,1,HEMATOLOGIA ONCOLOGICA PEDIATRICA,una sola institución: puede ser un duplicado sin unir,HEMATOLOGIA ONCOLOGICA PEDIATRICA
DE SUBESPECIALIDAD MEDICA EN ONCOLOGIA MEDICA,Médica,2,2,13,2,DE SUBESPECIALIDAD MEDICA EN ONCOLOGIA MEDICA | SUBESPECIALIDAD MEDICA EN ONCOLOGIA MEDICA,unió varias formas: confirmar que sean la misma,MEDICA ONCOLOGIA SUBESPECIALIDAD
CIRUGIA DIGESTIVA,Médica,2,2,12,1,CIRUGIA DIGESTIVA,,CIRUGIA DIGESTIVA
TITULO PROFESIONAL DE ESPECIALISTA EN TRASTORNOS TEMPOROMANDIBULARES Y DOLOR OROFACIAL,Médica,1,1,12,1,TITULO PROFESIONAL DE ESPECIALISTA EN TRASTORNOS TEMPOROMANDIBULARES Y DOLOR OROFACIAL,quedan palabras administrativas,DOLOR ESPECIALISTA OROFACIAL PROFESIONAL TEMPOROMANDIBULAR TITULO TRASTORNO
SUBESPECIALIDAD MEDICA EN GERIATRIA,Médica,2,2,12,2,DE SUBESPECIALIDAD MEDICA EN GERIATRIA | SUBESPECIALIDAD MEDICA EN GERIATRIA,unió varias formas: confirmar que sean la misma,GERIATRIA MEDICA SUBESPECIALIDAD
PSIQUIATRIA DE LA INFANCIA Y ADOLESCENCIA,Médica,1,1,11,1,PSIQUIATRIA DE LA INFANCIA Y ADOLESCENCIA,una sola institución: puede ser un duplicado sin unir,ADOLESCENCIA INFANCIA PSIQUIATRIA
CARDIOLOGIA DE ADULTOS,Médica,2,2,11,2,CARDIOLOGIA ADULTO | CARDIOLOGIA DE ADULTOS,unió varias formas: confirmar que sean la misma,ADULTO CARDIOLOGIA
SUBESPECIALIDAD MEDICA EN CARDIOLOGIA,Médica,2,2,11,2,DE SUBESPECIALIDAD MEDICA EN CARDIOLOGIA | SUBESPECIALIDAD MEDICA EN CARDIOLOGIA,unió varias formas: confirmar que sean la misma,CARDIOLOGIA MEDICA SUBESPECIALIDAD
CIRUGIA DE TORAX,Médica,2,2,11,1,CIRUGIA DE TORAX,,CIRUGIA TORAX
FARMACIA CLINICA,Médica,1,1,11,1,FARMACIA CLINICA,una sola institución: puede ser un duplicado sin unir,CLINICA FARMACIA
MEDICINA NUCLEAR,Médica,2,2,11,1,MEDICINA NUCLEAR,,MEDICINA NUCLEAR
RADIOTERAPIA ONCOLOGICA,Médica,3,3,11,1,RADIOTERAPIA ONCOLOGICA,,ONCOLOGICA RADIOTERAPIA
PSIQUIATRIA PEDIATRICA Y DE LA ADOLESCENCIA,Médica,1,1,10,1,PSIQUIATRIA PEDIATRICA Y DE LA ADOLESCENCIA,una sola institución: puede ser un duplicado sin unir,ADOLESCENCIA PEDIATRICA PSIQUIATRIA
CARDIOLOGIA PEDIATRICA,Médica,2,2,10,1,CARDIOLOGIA PEDIATRICA,,CARDIOLOGIA PEDIATRICA
SUBESPECIALIDAD MEDICA EN NUTRICION CLINICA Y DIABETOLOGIA,Médica,1,1,10,1,SUBESPECIALIDAD MEDICA EN NUTRICION CLINICA Y DIABETOLOGIA,una sola institución: puede ser un duplicado sin unir,CLINICA DIABETOLOGIA MEDICA NUTRICION SUBESPECIALIDAD
LABORATORIO CLINICO,Médica,2,2,10,1,LABORATORIO CLINICO,,CLINICO LABORATORIO
ENDOCRINOLOGIA,Médica,1,1,10,1,ENDOCRINOLOGIA,una sola institución: puede ser un duplicado sin unir,ENDOCRINOLOGIA
UROLOGIA GENERAL,Médica,1,1,10,1,UROLOGIA GENERAL,una sola institución: puede ser un duplicado sin unir,GENERAL UROLOGIA
PSIQUIATRIA INFANTIL Y DE LA ADOLESCENCIA,Médica,1,1,9,1,PSIQUIATRIA INFANTIL Y DE LA ADOLESCENCIA,una sola institución: puede ser un duplicado sin unir,ADOLESCENCIA INFANTIL PSIQUIATRIA
SUBESPECIALIDAD MEDICA EN CIRUGIA PLASTICA Y REPARADORA,Médica,1,1,9,1,SUBESPECIALIDAD MEDICA EN CIRUGIA PLASTICA Y REPARADORA,una sola institución: puede ser un duplicado sin unir,CIRUGIA MEDICA PLASTICA REPARADORA SUBESPECIALIDAD
CUIDADOS INTENSIVOS PEDIATRICOS,Médica,1,1,9,1,CUIDADOS INTENSIVOS PEDIATRICOS,una sola institución: puede ser un duplicado sin unir,CUIDADO INTENSIVO PEDIATRICO
DE FORMACION DE ESPECIALISTA EN PEDIATRIA,Médica,1,1,9,1,DE FORMACION DE ESPECIALISTA EN PEDIATRIA,quedan palabras administrativas,ESPECIALISTA FORMACION PEDIATRIA
MEDICO ESPECIALISTA EN OFTALMOLOGIA,Médica,1,1,9,1,MEDICO ESPECIALISTA EN OFTALMOLOGIA,quedan palabras administrativas,ESPECIALISTA MEDICO OFTALMOLOGIA
SUBESPECIALIDAD MEDICA EN HEMATOLOGIA,Médica,2,2,9,1,SUBESPECIALIDAD MEDICA EN HEMATOLOGIA,,HEMATOLOGIA MEDICA SUBESPECIALIDAD
SUBESPECIALIDAD MEDICA EN MEDICINA INTENSIVA DEL NINO,Médica,1,1,9,1,SUBESPECIALIDAD MEDICA EN MEDICINA INTENSIVA DEL NINO,una sola institución: puede ser un duplicado sin unir,INTENSIVA MEDICA MEDICINA NINO SUBESPECIALIDAD
TITULO PROFESIONAL DE ESPECIALISTA EN NUTRICION CLINICA DEL ADULTO,Médica,1,1,8,1,TITULO PROFESIONAL DE ESPECIALISTA EN NUTRICION CLINICA DEL ADULTO,quedan palabras administrativas,ADULTO CLINICA ESPECIALISTA NUTRICION PROFESIONAL TITULO
MEDICINA INTERNA E INFECTOLOGIA ADULTOS,Médica,1,1,8,1,MEDICINA INTERNA E INFECTOLOGIA ADULTOS,una sola institución: puede ser un duplicado sin unir,ADULTO INFECTOLOGIA INTERNA MEDICINA
DE ESPECIALISTA EN ANESTESIOLOGIA,Médica,1,1,8,1,DE ESPECIALISTA EN ANESTESIOLOGIA,quedan palabras administrativas,ANESTESIOLOGIA ESPECIALISTA
SUBESPECIALIDAD MEDICA EN CIRUGIA DIGESTIVA,Médica,1,1,8,1,SUBESPECIALIDAD MEDICA EN CIRUGIA DIGESTIVA,una sola institución: puede ser un duplicado sin unir,CIRUGIA DIGESTIVA MEDICA SUBESPECIALIDAD
ENFERMEDADES RESPIRATORIAS,Médica,1,1,8,1,ENFERMEDADES RESPIRATORIAS,una sola institución: puede ser un duplicado sin unir,ENFERMEDAD RESPIRATORIA
DE ESPECIALISTA EN MEDICINA DE URGENCIA,Médica,1,1,8,1,DE ESPECIALISTA EN MEDICINA DE URGENCIA,quedan palabras administrativas,ESPECIALISTA MEDICINA URGENCIA
DE ESPECIALISTA EN RADIOLOGIA,Médica,1,1,8,1,DE ESPECIALISTA EN RADIOLOGIA,quedan palabras administrativas,ESPECIALISTA RADIOLOGIA
MEDICINA MATERNO FETAL,Médica,1,1,8,1,MEDICINA MATERNO FETAL,una sola institución: puede ser un duplicado sin unir,FETAL MATERNO MEDICINA
IMAGENOLOGIA MEDICA,Médica,1,1,8,1,IMAGENOLOGIA MEDICA,una sola institución: puede ser un duplicado sin unir,IMAGENOLOGIA MEDICA
INFECTOLOGIA PEDIATRICA,Médica,1,1,8,1,INFECTOLOGIA PEDIATRICA,una sola institución: puede ser un duplicado sin unir,INFECTOLOGIA PEDIATRICA
SUBESPECIALIDAD MEDICA EN NEONATOLOGIA,Médica,2,2,8,2,DE SUBESPECIALIDAD MEDICA EN NEONATOLOGIA | SUBESPECIALIDAD MEDICA EN NEONATOLOGIA,unió varias formas: confirmar que sean la misma,MEDICA NEONATOLOGIA SUBESPECIALIDAD
CUIDADOS CRITICOS DEL ADULTO Y ADULTO MAYOR,Médica,1,1,7,1,CUIDADOS CRITICOS DEL ADULTO Y ADULTO MAYOR,una sola institución: puede ser un duplicado sin unir,ADULTO CRITICO CUIDADO MAYOR
DIABETES DEL ADULTO,Médica,1,1,7,1,DIABETES DEL ADULTO,una sola institución: puede ser un duplicado sin unir,ADULTO DIABET
DE SUBESPECIALIDAD MEDICA EN ENFERMEDADES RESPIRATORIAS DEL ADULTO,Médica,2,2,7,2,DE SUBESPECIALIDAD MEDICA EN ENFERMEDADES RESPIRATORIAS DEL ADULTO | SUBESPECIALIDAD MEDICA EN ENFERMEDADES RESPIRATORIAS DEL ADULTO,unió varias formas: confirmar que sean la misma,ADULTO ENFERMEDAD MEDICA RESPIRATORIA SUBESPECIALIDAD
CIRUGIA PLASTICA Y REPARADORA,Médica,2,2,7,1,CIRUGIA PLASTICA Y REPARADORA,,CIRUGIA PLASTICA REPARADORA
FORMACION MEDICO ESPECIALISTA EN RADIOLOGIA,Médica,1,1,7,1,FORMACION MEDICO ESPECIALISTA EN RADIOLOGIA,quedan palabras administrativas,ESPECIALISTA FORMACION MEDICO RADIOLOGIA
INFECTOLOGIA,Médica,1,1,7,1,INFECTOLOGIA,una sola institución: puede ser un duplicado sin unir,INFECTOLOGIA
NEUROPEDIATRIA,Médica,1,1,7,1,NEUROPEDIATRIA,una sola institución: puede ser un duplicado sin unir,NEUROPEDIATRIA
RADIO ONCOLOGIA,Médica,1,1,7,1,RADIO ONCOLOGIA,una sola institución: puede ser un duplicado sin unir,ONCOLOGIA RADIO
MEDICINA DEL TRABAJO Y DEL AMBIENTE,Médica,1,1,6,1,MEDICINA DEL TRABAJO Y DEL AMBIENTE,una sola institución: puede ser un duplicado sin unir,AMBIENTE MEDICINA TRABAJO
CIRUGIA DE CABEZA CUELLO Y PLASTICA MAXILO FACIAL,Médica,1,1,6,1,CIRUGIA DE CABEZA CUELLO Y PLASTICA MAXILO FACIAL,una sola institución: puede ser un duplicado sin unir,CABEZA CIRUGIA CUELLO FACIAL MAXILO PLASTICA
SUBESPECIALIDAD MEDICA EN CIRUGIA ONCOLOGICA Y DE CABEZA Y CUELLO,Médica,2,2,6,2,DE SUBESPECIALIDAD MEDICA EN CIRUGIA ONCOLOGICA DE CABEZA Y CUELLO | SUBESPECIALIDAD MEDICA EN CIRUGIA ONCOLOGICA Y DE CABEZA Y CUELLO,unió varias formas: confirmar que sean la misma,CABEZA CIRUGIA CUELLO MEDICA ONCOLOGICA SUBESPECIALIDAD
FORMACION DE ESPECIALIDAD DERIVADA EN CARDIOLOGIA,Médica,1,1,6,1,FORMACION DE ESPECIALIDAD DERIVADA EN CARDIOLOGIA,quedan palabras administrativas,CARDIOLOGIA DERIVADA ESPECIALIDAD FORMACION
FORMACION DE SUBESPECIALISTA EN CIRUGIA PLASTICA Y RECONSTRUCTIVA,Médica,1,1,6,1,FORMACION DE SUBESPECIALISTA EN CIRUGIA PLASTICA Y RECONSTRUCTIVA,quedan palabras administrativas,CIRUGIA FORMACION PLASTICA RECONSTRUCTIVA SUBESPECIALISTA
CIRUGIA VASCULAR PERIFERICA,Médica,1,1,6,1,CIRUGIA VASCULAR PERIFERICA,una sola institución: puede ser un duplicado sin unir,CIRUGIA PERIFERICA VASCULAR
COLOPROCTOLOGIA,Médica,2,2,6,1,COLOPROCTOLOGIA,,COLOPROCTOLOGIA
SUBESPECIALIDAD MEDICA EN COLOPROCTOLOGIA,Médica,1,1,6,1,SUBESPECIALIDAD MEDICA EN COLOPROCTOLOGIA,una sola institución: puede ser un duplicado sin unir,COLOPROCTOLOGIA MEDICA SUBESPECIALIDAD
ENDOSCOPIA DIGESTIVA DIAGNOSTICO TERAPEUTICA,Médica,1,1,6,1,ENDOSCOPIA DIGESTIVA DIAGNOSTICO TERAPEUTICA,una sola institución: puede ser un duplicado sin unir,DIAGNOSTICO DIGESTIVA ENDOSCOPIA TERAPEUTICA
TRASTORNOS TEMPOROMANDIBULARES Y DOLOR ORO FACIAL,Médica,1,1,6,1,TRASTORNOS TEMPOROMANDIBULARES Y DOLOR ORO FACIAL,una sola institución: puede ser un duplicado sin unir,DOLOR FACIAL ORO TEMPOROMANDIBULAR TRASTORNO
SUBESPECIALIDAD MEDICA EN ENDOCRINOLOGIA,Médica,1,1,6,1,SUBESPECIALIDAD MEDICA EN ENDOCRINOLOGIA,una sola institución: puede ser un duplicado sin unir,ENDOCRINOLOGIA MEDICA SUBESPECIALIDAD
SUBESPECIALIDAD MEDICA EN GINECOLOGIA ONCOLOGICA,Médica,2,2,6,2,DE SUBESPECIALIDAD MEDICA EN GINECOLOGIA ONCOLOGICA | SUBESPECIALIDAD MEDICA EN GINECOLOGIA ONCOLOGICA,unió varias formas: confirmar que sean la misma,GINECOLOGIA MEDICA ONCOLOGICA SUBESPECIALIDAD
MEDICINA INTENSIVA,Médica,1,1,6,1,MEDICINA INTENSIVA,una sola institución: puede ser un duplicado sin unir,INTENSIVA MEDICINA
SUBESPECIALIDAD MEDICA EN ENFERMEDADES INFECCIOSAS DEL ADULTO,Médica,1,1,5,1,SUBESPECIALIDAD MEDICA EN ENFERMEDADES INFECCIOSAS DEL ADULTO,una sola institución: puede ser un duplicado sin unir,ADULTO ENFERMEDAD INFECCIOSA MEDICA SUBESPECIALIDAD
INFECTOLOGIA ADULTOS,Médica,2,2,5,1,INFECTOLOGIA ADULTOS,,ADULTO INFECTOLOGIA
SUBESPECIALIDAD MEDICA EN NEFROLOGIA ADULTO,Médica,1,1,5,1,SUBESPECIALIDAD MEDICA EN NEFROLOGIA ADULTO,una sola institución: puede ser un duplicado sin unir,ADULTO MEDICA NEFROLOGIA SUBESPECIALIDAD
ESPECIALIDAD MAGISTER EN ANATOMIA PATOLOGICA,Médica,1,1,5,1,ESPECIALIDAD MAGISTER EN ANATOMIA PATOLOGICA,quedan palabras administrativas,ANATOMIA ESPECIALIDAD MAGISTER PATOLOGICA
CIRUGIA COLOPROCTOLOGICA,Médica,1,1,5,1,CIRUGIA COLOPROCTOLOGICA,una sola institución: puede ser un duplicado sin unir,CIRUGIA COLOPROCTOLOGICA
SUBESPECIALIDAD MEDICA INMUNOLOGIA CLINICA Y REUMATOLOGIA,Médica,1,1,5,1,SUBESPECIALIDAD MEDICA INMUNOLOGIA CLINICA Y REUMATOLOGIA,una sola institución: puede ser un duplicado sin unir,CLINICA INMUNOLOGIA MEDICA REUMATOLOGIA SUBESPECIALIDAD
ENFERMEDADES RESPIRATORIAS PEDIATRICAS,Médica,1,1,5,1,ENFERMEDADES RESPIRATORIAS PEDIATRICAS,una sola institución: puede ser un duplicado sin unir,ENFERMEDAD PEDIATRICA RESPIRATORIA
DE ESPECIALISTA EN GINECOLOGIA Y OBSTETRICIA,Médica,1,1,5,1,DE ESPECIALISTA EN GINECOLOGIA Y OBSTETRICIA,quedan palabras administrativas,ESPECIALISTA GINECOLOGIA OBSTETRICIA
TITULO PROFESIONAL DE ESPECIALISTA EN MASTOLOGIA,Médica,1,1,5,1,TITULO PROFESIONAL DE ESPECIALISTA EN MASTOLOGIA,quedan palabras administrativas,ESPECIALISTA MASTOLOGIA PROFESIONAL TITULO
MEDICO ESPECIALISTA EN UROLOGIA,Médica,1,1,5,1,MEDICO ESPECIALISTA EN UROLOGIA,quedan palabras administrativas,ESPECIALISTA MEDICO UROLOGIA
DE SUBESPECIALIDAD MEDICA EN MEDICINA MATERNO FETAL,Médica,2,2,5,2,DE SUBESPECIALIDAD MEDICA EN MEDICINA MATERNO FETAL | SUBESPECIALIDAD MEDICA EN MEDICINA MATERNO FETAL,unió varias formas: confirmar que sean la misma,FETAL MATERNO MEDICA MEDICINA SUBESPECIALIDAD
FORMACION MEDICO DE SUBESPECIALIDAD EN NEUROCIRUGIA,Médica,1,1,5,1,FORMACION MEDICO DE SUBESPECIALIDAD EN NEUROCIRUGIA,quedan palabras administrativas,FORMACION MEDICO NEUROCIRUGIA SUBESPECIALIDAD
GINECOLOGIA,Médica,1,1,5,1,GINECOLOGIA,una sola institución: puede ser un duplicado sin unir,GINECOLOGIA
SUBESPECIALIDAD MEDICA EN INFECTOLOGIA PEDIATRICA,Médica,1,1,5,1,SUBESPECIALIDAD MEDICA EN INFECTOLOGIA PEDIATRICA,una sola institución: puede ser un duplicado sin unir,INFECTOLOGIA MEDICA PEDIATRICA SUBESPECIALIDAD
NEFROLOGIA PEDIATRICA,Médica,1,1,5,1,NEFROLOGIA PEDIATRICA,una sola institución: puede ser un duplicado sin unir,NEFROLOGIA PEDIATRICA
ONCOLOGIA Y RADIOTERAPIA,Médica,1,1,5,1,ONCOLOGIA Y RADIOTERAPIA,una sola institución: puede ser un duplicado sin unir,ONCOLOGIA RADIOTERAPIA
TITULO PROFESIONAL DE ESPECIALISTA EN NUTRICION CLINICA DEL NINO Y DEL ADOLESCENTE,Médica,1,1,4,1,TITULO PROFESIONAL DE ESPECIALISTA EN NUTRICION CLINICA DEL NINO Y DEL ADOLESCENTE,quedan palabras administrativas,ADOLESCENTE CLINICA ESPECIALISTA NINO NUTRICION PROFESIONAL TITULO
SUBESPECIALIDAD EN ENFERMEDADES RESPIRATORIAS Y MEDICINA INTENSIVA DEL ADULTO,Médica,1,1,4,1,SUBESPECIALIDAD EN ENFERMEDADES RESPIRATORIAS Y MEDICINA INTENSIVA DEL ADULTO,una sola institución: puede ser un duplicado sin unir,ADULTO ENFERMEDAD INTENSIVA MEDICINA RESPIRATORIA SUBESPECIALIDAD
ENFERMEDADES RESPIRATORIAS DE ADULTOS,Médica,1,1,4,1,ENFERMEDADES RESPIRATORIAS DE ADULTOS,una sola institución: puede ser un duplicado sin unir,ADULTO ENFERMEDAD RESPIRATORIA
INMUNOLOGIA ALERGIA Y REUMATOLOGIA PEDIATRICA,Médica,1,1,4,1,INMUNOLOGIA ALERGIA Y REUMATOLOGIA PEDIATRICA,una sola institución: puede ser un duplicado sin unir,ALERGIA INMUNOLOGIA PEDIATRICA REUMATOLOGIA
CATETERISMO CARDIACO Y CARDIOLOGIA INTERVENCIONAL,Médica,1,1,4,1,CATETERISMO CARDIACO Y CARDIOLOGIA INTERVENCIONAL,una sola institución: puede ser un duplicado sin unir,CARDIACO CARDIOLOGIA CATETERISMO INTERVENCIONAL
CIRUGIA CARDIOVASCULAR,Médica,2,2,4,1,CIRUGIA CARDIOVASCULAR,,CARDIOVASCULAR CIRUGIA
CIRUGIA VASCULAR Y ENDOVASCULAR,Médica,1,1,4,1,CIRUGIA VASCULAR Y ENDOVASCULAR,una sola institución: puede ser un duplicado sin unir,CIRUGIA ENDOVASCULAR VASCULAR
SUBESPECIALIDAD MEDICA EN CIRUGIA VASCULAR,Médica,1,1,4,1,SUBESPECIALIDAD MEDICA EN CIRUGIA VASCULAR,una sola institución: puede ser un duplicado sin unir,CIRUGIA MEDICA SUBESPECIALIDAD VASCULAR
TITULO PROFESIONAL DE ESPECIALISTA EN LABORATORIO CLINICO,Médica,1,1,4,1,TITULO PROFESIONAL DE ESPECIALISTA EN LABORATORIO CLINICO,quedan palabras administrativas,CLINICO ESPECIALISTA LABORATORIO PROFESIONAL TITULO
