propuesta,tipo,instituciones,programas,matricula,n_variantes,variantes,revisar,firma
DE SUBESPECIALIDAD MEDICA EN CIRUGIA ONCOLOGICA,Médica,1,1,2,1,DE SUBESPECIALIDAD MEDICA EN CIRUGIA ONCOLOGICA,una sola institución: puede ser un duplicado sin unir,CIRUGIA MEDICA ONCOLOGICA SUBESPECIALIDAD
SUBESPECIALIDAD MEDICA EN ENDOCRINOLOGIA PEDIATRICA,Médica,1,1,2,1,SUBESPECIALIDAD MEDICA EN ENDOCRINOLOGIA PEDIATRICA,una sola institución: puede ser un duplicado sin unir,ENDOCRINOLOGIA MEDICA PEDIATRICA SUBESPECIALIDAD
SUBESPECIALIDAD MEDICA EN ENFERMEDADES RESPIRATORIAS DEL NINO,Médica,1,1,2,1,SUBESPECIALIDAD MEDICA EN ENFERMEDADES RESPIRATORIAS DEL NINO,una sola institución: puede ser un duplicado sin unir,ENFERMEDAD MEDICA NINO RESPIRATORIA SUBESPECIALIDAD
PSIQUIATRIA DE ENLACE Y MEDICINA PSICOSOMATICA,Médica,1,1,2,1,PSIQUIATRIA DE ENLACE Y MEDICINA PSICOSOMATICA,una sola institución: puede ser un duplicado sin unir,ENLACE MEDICINA PSICOSOMATICA PSIQUIATRIA
SUB ESPECIALIDAD EN ONCOLOGIA MEDICA,Médica,2,2,2,2,SUB ESPECIALIDAD EN ONCOLOGIA MEDICA | SUB ESPECIALIDAD ONCOLOGIA MEDICA,quedan palabras administrativas,ESPECIALIDAD MEDICA ONCOLOGIA SUB
TITULO PROFESIONAL DE ESPECIALISTA EN RADIOLOGIA INTERVENCIONAL,Médica,1,1,2,1,TITULO PROFESIONAL DE ESPECIALISTA EN RADIOLOGIA INTERVENCIONAL,quedan palabras administrativas,ESPECIALISTA INTERVENCIONAL PROFESIONAL RADIOLOGIA TITULO
TITULO PROFESIONAL DE ESPECIALISTA EN UROLOGIA PEDIATRICA,Médica,1,1,2,1,TITULO PROFESIONAL DE ESPECIALISTA EN UROLOGIA PEDIATRICA,quedan palabras administrativas,ESPECIALISTA PEDIATRICA PROFESIONAL TITULO UROLOGIA
FORMACION DE SUBESPECIALISTA EN MEDICINA INTENSIVA,Médica,1,1,2,1,FORMACION DE SUBESPECIALISTA EN MEDICINA INTENSIVA,quedan palabras administrativas,FORMACION INTENSIVA MEDICINA SUBESPECIALISTA
FORMACION MEDICO DE SUBESPECIALIDAD EN NEONATOLOGIA,Médica,1,1,2,1,FORMACION MEDICO DE SUBESPECIALIDAD EN NEONATOLOGIA,quedan palabras administrativas,FORMACION MEDICO NEONATOLOGIA SUBESPECIALIDAD
SUBESPECIALIDAD MEDICA EN GASTROENTEROLOGIA Y NUTRICION PEDIATRICA,Médica,1,1,2,1,SUBESPECIALIDAD MEDICA EN GASTROENTEROLOGIA Y NUTRICION PEDIATRICA,una sola institución: puede ser un duplicado sin unir,GASTROENTEROLOGIA MEDICA NUTRICION PEDIATRICA SUBESPECIALIDAD
SUBESPECIALIDAD MEDICA EN HEMATOLOGIA Y ONCOLOGIA INFANTIL,Médica,1,1,2,1,SUBESPECIALIDAD MEDICA EN HEMATOLOGIA Y ONCOLOGIA INFANTIL,una sola institución: puede ser un duplicado sin unir,HEMATOLOGIA INFANTIL MEDICA ONCOLOGIA SUBESPECIALIDAD
