k,id_proceso,tipo_cna,institucion_cna,Acreditación Extendida,Total de Procesos,Gestión Institucional,Docencia de Pregrado,Investigación,Vinculación con el Medio,Docencia de Postgrado,Docencia y Resultados del Proceso de Formación,Gestión Estratégica y Recursos Institucionales,Aseguramiento Interno de la Calidad,"Investigación, Creación y/o Innovación",resultado,nivel,anios,desde,hasta,agencia,Decisión /Fecha Sesión,Decisión/Agencia,Decisión/Resultado Acreditacíón,Decisión/Años,Decisión/Fecha Vigencia Desde,Decisión/Fecha Vigencia Hasta,Reposición/Fecha Sesión,Reposición/Agencia,Reposición/Resultado,Reposición/Años,Reposición/Fecha Vigencia Desde,Reposición/Fecha Vigencia Hasta,Apelación/Fecha Sesión,Apelación/Agencia,Apelación/Resultado,Apelación/Años,Apelación/Fecha Vigencia Desde,Apelación/Fecha Vigencia Hasta,resultado_raw,en_proceso,rescatado,anio_acreditacion,marco,nivel_derivado,cubre
IP ARAUCANA,INST-00021-04-00,INSTITUTO PROFESIONAL,INSTITUTO PROFESIONAL LA ARAUCANA,No,,No,No,No,No,No,No,No,No,No,NO ACREDITADA,,2,2017-04-26,2019-04-26,,20/12/2016,COMISIÓN NACIONAL DE ACREDITACION DE CHILE,NO ACREDITADA,,,,26/04/2017,COMISIÓN NACIONAL DE ACREDITACION DE CHILE,ACOGE,2,26/04/2017,26/04/2019,,,,,,,NO ACREDITADA,False,True,2017,Ley 20.129 (régimen anterior),False,False
IP ARTES Y COMUNICACION ARCOS,INST-00015-06-00,INSTITUTO PROFESIONAL,INSTITUTO PROFESIONAL DE ARTES Y COMUNICACIÓN ARCOS,No,,No,No,No,No,No,No,No,No,No,NO ACREDITADA,,4,2021-09-08,2025-09-08,,08/09/2021,COMISIÓN NACIONAL DE ACREDITACION DE CHILE,ACREDITADA,4,08/09/2021,08/09/2025,,,,,,,,,,,,,NO ACREDITADA,False,True,2021,Ley 21.091,False,False
IP CARLOS CASANUEVA,INST-00091-04-00,INSTITUTO PROFESIONAL,INSTITUTO PROFESIONAL CARLOS CASANUEVA,No,,No,No,No,No,No,No,No,No,No,NO ACREDITADA,,,,,CNA-CHILE,27/09/2021,COMISIÓN NACIONAL DE ACREDITACION DE CHILE,NO ACREDITADA,,,,,,,,,,,,,,,,NO ACREDITADA,False,False,,Ley 21.091,False,False
IP CATEQUISTICO PUC,INST-00078-01-00,INSTITUTO PROFESIONAL,INSTITUTO PROFESIONAL CATEQUÍSTICO PUC,No,,No,No,No,No,No,No,No,No,No,NO ACREDITADA,,,,,CNA-CHILE,30/09/2009,COMISIÓN NACIONAL DE ACREDITACION DE CHILE,NO ACREDITADA,,,,02/12/2009,COMISIÓN NACIONAL DE ACREDITACION DE CHILE,NO ACOGE,,,,,CONSEJO NACIONAL DE EDUCACIÓN,NO ACOGE,0,,,NO ACREDITADA,False,False,,Ley 21.091,False,False
IP CHILE,INST-00016-07-00,INSTITUTO PROFESIONAL,INSTITUTO PROFESIONAL DE CHILE,No,,No,No,No,No,No,Si,Si,Si,No,ACREDITADA,AVANZADO,5,2025-03-18,2030-03-18,CNA-CHILE,22/01/2025,COMISIÓN NACIONAL DE ACREDITACION DE CHILE,ACREDITADA,5,18/03/2025,18/03/2030,25/09/2025,COMISIÓN NACIONAL DE ACREDITACION DE CHILE,ACOGE,5,18/03/2025,18/03/2030,,,,,,,ACREDITADA,False,False,2025,Ley 21.091,False,True
IP CHILENO BRITANICO DE CULTURA,INST-00151-01-00,INSTITUTO PROFESIONAL,INSTITUTO PROFESIONAL CHILENO BRITÁNICO DE CULTURA,No,,No,No,No,No,No,No,No,No,No,NO ACREDITADA,,,,,,,,,,,,,,,,,,,,,,,,NO ACREDITADA<br/> (EN PROCESO),True,False,,Ley 21.091,False,False
IP DIEGO PORTALES,INST-00017-03-00,INSTITUTO PROFESIONAL,INSTITUTO PROFESIONAL DIEGO PORTALES,No,,No,No,No,No,No,No,No,No,No,NO ACREDITADA,,,,,CNA-CHILE,19/07/2023,COMISIÓN NACIONAL DE ACREDITACION DE CHILE,NO ACREDITADA,,,,19/10/2023,COMISIÓN NACIONAL DE ACREDITACION DE CHILE,NO ACOGE,0,,,13/03/2024,CONSEJO NACIONAL DE EDUCACIÓN,NO ACOGE,0,,,NO ACREDITADA,False,False,,Ley 21.091,False,False
IP DUOC UC,INST-00018-04-00,INSTITUTO PROFESIONAL,INSTITUTO PROFESIONAL DUOC UC,No,,No,No,No,No,No,Si,Si,Si,Si,ACREDITADA,DE EXCELENCIA,7,2024-10-16,2031-10-16,CNA-CHILE,16/10/2024,COMISIÓN NACIONAL DE ACREDITACION DE CHILE,ACREDITADA,7,16/10/2024,16/10/2031,,,,,,,,,,,,,ACREDITADA,False,False,2024,Ley 21.091,False,True
IP EATRI,INST-00099-06-00,INSTITUTO PROFESIONAL,INSTITUTO PROFESIONAL EATRI,No,,No,No,No,No,No,Si,Si,Si,No,ACREDITADA,BÁSICO,3,2026-02-26,2029-02-26,CNA-CHILE,26/02/2026,COMISIÓN NACIONAL DE ACREDITACION DE CHILE,ACREDITADA,3,26/02/2026,26/02/2029,,,,,,,,,,,,,ACREDITADA,False,False,2026,Ley 21.091,False,True
IP ESCUELA DE CINE DE CHILE,INST-00149-01-00,INSTITUTO PROFESIONAL,INSTITUTO PROFESIONAL ESCUELA DE CINE DE CHILE,No,,No,No,No,No,No,No,No,No,No,NO ACREDITADA,,,,,CNA-CHILE,13/09/2023,COMISIÓN NACIONAL DE ACREDITACION DE CHILE,NO ACREDITADA,,,,06/03/2024,COMISIÓN NACIONAL DE ACREDITACION DE CHILE,NO ACOGE,0,,,,,,,,,NO ACREDITADA,False,False,,Ley 21.091,False,False
IP ESCUELA DE COMERCIO DE SANTIAGO,INST-00148-01-00,INSTITUTO PROFESIONAL,INSTITUTO PROFESIONAL ESCUELA DE COMERCIO DE SANTIAGO,Si,,Si,Si,No,No,No,No,No,No,No,ACREDITADA,BÁSICO,3,2023-07-05,2026-07-05,,05/07/2023,COMISIÓN NACIONAL DE ACREDITACION DE CHILE,ACREDITADA,3,05/07/2023,05/07/2026,08/11/2023,COMISIÓN NACIONAL DE ACREDITACION DE CHILE,NO ACOGE,3,05/07/2023,05/07/2026,,,,,,,ACREDITADA<br/> (EN PROCESO),True,True,2023,Ley 21.091,False,False
IP ESCUELA DE CONTADORES AUDITORES DE SANTIAGO,INST-00089-05-00,INSTITUTO PROFESIONAL,INSTITUTO PROFESIONAL ESCUELA DE CONTADORES AUDITORES DE SANTIAGO,No,,Si,Si,No,No,No,No,No,No,No,ACREDITADA,AVANZADO,4,2023-08-29,2027-08-29,CNA-CHILE,23/08/2023,COMISIÓN NACIONAL DE ACREDITACION DE CHILE,ACREDITADA,4,29/08/2023,29/08/2027,29/02/2024,COMISIÓN NACIONAL DE ACREDITACION DE CHILE,NO ACOGE,4,29/08/2023,29/08/2027,,,,,,,ACREDITADA,False,False,2023,Ley 21.091,False,True
IP ESCUELA DE MARINA MERCANTE PILOTO PARDO,INST-00152-01-00,INSTITUTO PROFESIONAL,INSTITUTO PROFESIONAL ESCUELA DE MARINA MERCANTE PILOTO PARDO,No,,No,No,No,No,No,No,No,No,No,NO ACREDITADA,,,,,,,,,,,,,,,,,,,,,,,,NO ACREDITADA<br/> (EN PROCESO),True,False,,Ley 21.091,False,False
