k,id_proceso,tipo_cna,institucion_cna,Acreditación Extendida,Total de Procesos,Gestión Institucional,Docencia de Pregrado,Investigación,Vinculación con el Medio,Docencia de Postgrado,Docencia y Resultados del Proceso de Formación,Gestión Estratégica y Recursos Institucionales,Aseguramiento Interno de la Calidad,"Investigación, Creación y/o Innovación",resultado,nivel,anios,desde,hasta,agencia,Decisión /Fecha Sesión,Decisión/Agencia,Decisión/Resultado Acreditacíón,Decisión/Años,Decisión/Fecha Vigencia Desde,Decisión/Fecha Vigencia Hasta,Reposición/Fecha Sesión,Reposición/Agencia,Reposición/Resultado,Reposición/Años,Reposición/Fecha Vigencia Desde,Reposición/Fecha Vigencia Hasta,Apelación/Fecha Sesión,Apelación/Agencia,Apelación/Resultado,Apelación/Años,Apelación/Fecha Vigencia Desde,Apelación/Fecha Vigencia Hasta,resultado_raw,en_proceso,rescatado,anio_acreditacion,marco,nivel_derivado,cubre
U ANDRES BELLO,INST-00032-05-00,UNIVERSIDAD,UNIVERSIDAD ANDRÉS BELLO,No,,Si,Si,Si,Si,Si,No,No,No,No,ACREDITADA,DE EXCELENCIA,6,2022-12-25,2028-12-25,CNA-CHILE,10/11/2022,COMISIÓN NACIONAL DE ACREDITACION DE CHILE,ACREDITADA,6,25/12/2022,25/12/2028,,,,,,,,,,,,,ACREDITADA,False,False,2022,Ley 21.091,False,True
U ANTOFAGASTA,INST-00045-05-00,UNIVERSIDAD,UNIVERSIDAD DE ANTOFAGASTA,No,,Si,Si,Si,Si,Si,No,No,No,No,ACREDITADA,AVANZADO,5,2022-09-07,2027-09-07,CNA-CHILE,07/09/2022,COMISIÓN NACIONAL DE ACREDITACION DE CHILE,ACREDITADA,5,07/09/2022,07/09/2027,,,,,,,,,,,,,ACREDITADA,False,False,2022,Ley 21.091,False,True
U ARTE Y CIENCIAS SOCIALES ARCIS,INST-00046-03-00,UNIVERSIDAD,UNIVERSIDAD DE ARTE Y CIENCIAS SOCIALES ARCIS,No,,No,No,No,No,No,No,No,No,No,NO ACREDITADA,,2,2012-11-28,2014-11-28,,28/11/2012,COMISIÓN NACIONAL DE ACREDITACION DE CHILE,ACREDITADA,2,28/11/2012,28/11/2014,10/04/2013,COMISIÓN NACIONAL DE ACREDITACION DE CHILE,NO ACOGE,,,,,,,,,,NO ACREDITADA,False,True,2012,Ley 20.129 (régimen anterior),False,False
U ARTES CIENCIAS Y COMUNICACION UNIACC,INST-00047-05-00,UNIVERSIDAD,"UNIVERSIDAD DE ARTES, CIENCIAS Y COMUNICACIÓN UNIACC",No,,Si,Si,No,No,No,No,No,No,No,ACREDITADA,BÁSICO,3,2023-08-09,2026-08-09,CNA-CHILE,09/08/2023,COMISIÓN NACIONAL DE ACREDITACION DE CHILE,ACREDITADA,3,09/08/2023,09/08/2026,,,,,,,,,,,,,ACREDITADA<br/> (EN PROCESO),True,False,2023,Ley 21.091,False,True
U ARTURO PRAT,INST-00033-08-00,UNIVERSIDAD,UNIVERSIDAD ARTURO PRAT,No,,Si,Si,No,Si,No,No,No,No,No,ACREDITADA,AVANZADO,5,2022-07-06,2027-07-06,CNA-CHILE,06/07/2022,COMISIÓN NACIONAL DE ACREDITACION DE CHILE,ACREDITADA,5,06/07/2022,06/07/2027,,,,,,,,,,,,,ACREDITADA,False,False,2022,Ley 21.091,False,True
U ATACAMA,INST-00048-07-00,UNIVERSIDAD,UNIVERSIDAD DE ATACAMA,No,,No,No,No,No,No,Si,Si,Si,Si,ACREDITADA,AVANZADO,5,2026-04-01,2031-04-01,CNA-CHILE,01/04/2026,COMISIÓN NACIONAL DE ACREDITACION DE CHILE,ACREDITADA,5,01/04/2026,01/04/2031,,,,,,,,,,,,,ACREDITADA,False,False,2026,Ley 21.091,False,True
U AUSTRAL DE CHILE,INST-00034-04-00,UNIVERSIDAD,UNIVERSIDAD AUSTRAL DE CHILE,No,,Si,Si,Si,Si,Si,No,No,No,No,ACREDITADA,DE EXCELENCIA,6,2022-09-14,2028-09-14,CNA-CHILE,14/09/2022,COMISIÓN NACIONAL DE ACREDITACION DE CHILE,ACREDITADA,6,14/09/2022,14/09/2028,08/03/2023,COMISIÓN NACIONAL DE ACREDITACION DE CHILE,NO ACOGE,6,14/09/2022,14/09/2028,,,,,,,ACREDITADA,False,False,2022,Ley 21.091,False,True
U AUTONOMA DE CHILE,INST-00035-05-00,UNIVERSIDAD,UNIVERSIDAD AUTÓNOMA DE CHILE,No,,No,No,No,No,No,Si,Si,Si,Si,ACREDITADA,AVANZADO,5,2025-08-13,2030-08-13,CNA-CHILE,13/08/2025,COMISIÓN NACIONAL DE ACREDITACION DE CHILE,ACREDITADA,5,13/08/2025,13/08/2030,14/01/2026,COMISIÓN NACIONAL DE ACREDITACION DE CHILE,NO ACOGE,5,13/08/2025,13/08/2030,,,,,,,ACREDITADA,False,False,2025,Ley 21.091,False,True
U AYSEN,INST-00143-01-00,UNIVERSIDAD,UNIVERSIDAD DE AYSÉN,Si,,Si,Si,No,No,No,No,No,No,No,ACREDITADA,BÁSICO,3,2023-04-12,2026-04-12,,12/04/2023,COMISIÓN NACIONAL DE ACREDITACION DE CHILE,ACREDITADA,3,12/04/2023,12/04/2026,,,,,,,,,,,,,ACREDITADA<br/> (EN PROCESO),True,True,2023,Ley 21.091,False,False
U BERNARDO O HIGGINS,INST-00036-06-00,UNIVERSIDAD,UNIVERSIDAD BERNARDO O HIGGINS,No,,Si,Si,No,Si,No,No,No,No,No,ACREDITADA,AVANZADO,5,2022-11-09,2027-11-09,CNED,09/11/2022,COMISIÓN NACIONAL DE ACREDITACION DE CHILE,ACREDITADA,5,09/11/2022,11/11/2027,15/03/2023,COMISIÓN NACIONAL DE ACREDITACION DE CHILE,NO ACOGE,4,09/11/2022,09/11/2026,02/04/2025,CONSEJO NACIONAL DE EDUCACIÓN,ACOGE,5,09/11/2022,09/11/2027,ACREDITADA,False,False,2022,Ley 21.091,False,True
U BIO BIO,INST-00064-06-00,UNIVERSIDAD,UNIVERSIDAD DEL BÍO-BÍO,No,,No,No,No,No,No,Si,Si,Si,Si,ACREDITADA,AVANZADO,5,2025-01-15,2030-01-15,CNA-CHILE,15/01/2025,COMISIÓN NACIONAL DE ACREDITACION DE CHILE,ACREDITADA,5,15/01/2025,15/01/2030,30/09/2025,COMISIÓN NACIONAL DE ACREDITACION DE CHILE,NO ACOGE,5,15/01/2025,15/01/2030,,,,,,,ACREDITADA,False,False,2025,Ley 21.091,False,True
U BOLIVARIANA,INST-00037-02-00,UNIVERSIDAD,UNIVERSIDAD BOLIVARIANA,No,,No,No,No,No,No,No,No,No,No,NO ACREDITADA,,,,,CNA-CHILE,15/10/2025,COMISIÓN NACIONAL DE ACREDITACION DE CHILE,NO ACREDITADA,,,,,COMISIÓN NACIONAL DE ACREDITACION DE CHILE,NO ACOGE,0,,,,,,,,,NO ACREDITADA,False,False,,Ley 21.091,False,False
U CATOLICA DE CHILE,INST-00026-03-00,UNIVERSIDAD,PONTIFICIA UNIVERSIDAD CATÓLICA DE CHILE,Si,,Si,Si,Si,Si,Si,No,No,No,No,ACREDITADA,DE EXCELENCIA,7,2018-12-01,2025-12-01,,24/10/2018,COMISIÓN NACIONAL DE ACREDITACION DE CHILE,ACREDITADA,7,01/12/2018,01/12/2025,,,,,,,,,,,,,ACREDITADA<br/> (EN PROCESO),True,True,2018,Ley 21.091,True,False
U CATOLICA DE LA SANTISIMA CONCEPCION,INST-00039-05-00,UNIVERSIDAD,UNIVERSIDAD CATÓLICA DE LA SANTÍSIMA CONCEPCIÓN,Si,,Si,Si,Si,Si,No,No,No,No,No,ACREDITADA,AVANZADO,5,2021-03-03,2026-03-03,,03/03/2021,COMISIÓN NACIONAL DE ACREDITACION DE CHILE,ACREDITADA,5,03/03/2021,03/03/2026,26/05/2021,COMISIÓN NACIONAL DE ACREDITACION DE CHILE,NO ACOGE,5,03/03/2021,03/03/2026,,,,,,,ACREDITADA<br/> (EN PROCESO),True,True,2021,Ley 21.091,False,False
U CATOLICA DE TEMUCO,INST-00040-05-00,UNIVERSIDAD,UNIVERSIDAD CATÓLICA DE TEMUCO,No,,No,No,No,No,No,Si,Si,Si,Si,ACREDITADA,AVANZADO,5,2024-11-13,2029-11-13,CNA-CHILE,13/11/2024,COMISIÓN NACIONAL DE ACREDITACION DE CHILE,ACREDITADA,5,13/11/2024,13/11/2029,14/05/2025,COMISIÓN NACIONAL DE ACREDITACION DE CHILE,NO ACOGE,5,13/11/2024,13/11/2029,,,,,,,ACREDITADA,False,False,2024,Ley 21.091,False,True
U CATOLICA DE VALPARAISO,INST-00027-04-00,UNIVERSIDAD,PONTIFICIA UNIVERSIDAD CATÓLICA DE VALPARAÍSO,No,,Si,Si,Si,Si,Si,No,No,No,No,ACREDITADA,DE EXCELENCIA,7,2022-01-19,2029-01-19,CNA-CHILE,19/01/2022,COMISIÓN NACIONAL DE ACREDITACION DE CHILE,ACREDITADA,7,19/01/2022,19/01/2029,,,,,,,,,,,,,ACREDITADA,False,False,2022,Ley 21.091,False,True
U CATOLICA DEL MAULE,INST-00041-04-00,UNIVERSIDAD,UNIVERSIDAD CATÓLICA DEL MAULE,Si,,Si,Si,Si,Si,No,No,No,No,No,ACREDITADA,AVANZADO,5,2021-01-20,2026-01-20,,20/01/2021,COMISIÓN NACIONAL DE ACREDITACION DE CHILE,ACREDITADA,5,20/01/2021,20/01/2026,,,,,,,,,,,,,ACREDITADA<br/> (EN PROCESO),True,True,2021,Ley 21.091,False,False
U CATOLICA DEL NORTE,INST-00042-04-00,UNIVERSIDAD,UNIVERSIDAD CATÓLICA DEL NORTE,No,,Si,Si,Si,Si,Si,No,No,No,No,ACREDITADA,DE EXCELENCIA,6,2022-11-26,2028-11-26,CNA-CHILE,17/11/2022,COMISIÓN NACIONAL DE ACREDITACION DE CHILE,ACREDITADA,6,26/11/2022,26/11/2028,,,,,,,,,,,,,ACREDITADA,False,False,2022,Ley 21.091,False,True
U CATOLICA SILVA HENRIQUEZ,INST-00038-06-00,UNIVERSIDAD,UNIVERSIDAD CATÓLICA SILVA HENRÍQUEZ,No,,No,No,No,No,No,Si,Si,Si,Si,ACREDITADA,AVANZADO,4,2026-07-09,2030-07-09,CNA-CHILE,09/07/2026,COMISIÓN NACIONAL DE ACREDITACION DE CHILE,ACREDITADA,4,09/07/2026,09/07/2030,,,,,,,,,,,,,ACREDITADA,False,False,2026,Ley 21.091,False,True
U CENTRAL DE CHILE,INST-00044-06-00,UNIVERSIDAD,UNIVERSIDAD CENTRAL DE CHILE,No,,Si,Si,No,Si,No,No,No,No,No,ACREDITADA,AVANZADO,5,2022-01-13,2027-01-13,CNED,13/01/2022,CONSEJO NACIONAL DE EDUCACIÓN,ACREDITADA,4,13/01/2022,13/01/2026,20/07/2022,COMISIÓN NACIONAL DE ACREDITACION DE CHILE,NO ACOGE,4,13/01/2022,13/01/2026,03/04/2024,CONSEJO NACIONAL DE EDUCACIÓN,ACOGE,5,13/01/2022,13/01/2027,ACREDITADA,False,False,2022,Ley 21.091,False,True
U CHILE,INST-00049-04-00,UNIVERSIDAD,UNIVERSIDAD DE CHILE,No,,No,No,No,No,No,Si,Si,Si,Si,ACREDITADA,DE EXCELENCIA,7,2025-12-23,2032-12-23,CNA-CHILE,10/12/2025,COMISIÓN NACIONAL DE ACREDITACION DE CHILE,ACREDITADA,7,23/12/2025,23/12/2032,,,,,,,,,,,,,ACREDITADA,False,False,2025,Ley 21.091,False,True
U CONCEPCION,INST-00051-04-00,UNIVERSIDAD,UNIVERSIDAD DE CONCEPCIÓN,No,,Si,Si,Si,Si,Si,No,No,No,No,ACREDITADA,DE EXCELENCIA,7,2023-11-22,2030-11-22,CNA-CHILE,22/11/2023,COMISIÓN NACIONAL DE ACREDITACION DE CHILE,ACREDITADA,7,22/11/2023,22/11/2030,16/05/2024,COMISIÓN NACIONAL DE ACREDITACION DE CHILE,ACOGE,7,22/11/2023,22/11/2030,,,,,,,ACREDITADA,False,False,2023,Ley 21.091,False,True
U DESARROLLO,INST-00065-04-00,UNIVERSIDAD,UNIVERSIDAD DEL DESARROLLO,No,,Si,Si,Si,Si,Si,No,No,No,No,ACREDITADA,DE EXCELENCIA,6,2021-12-17,2027-12-17,CNA-CHILE,23/09/2021,COMISIÓN NACIONAL DE ACREDITACION DE CHILE,ACREDITADA,6,17/12/2021,17/12/2027,,,,,,,,,,,,,ACREDITADA,False,False,2021,Ley 21.091,False,True
U DIEGO PORTALES,INST-00068-05-00,UNIVERSIDAD,UNIVERSIDAD DIEGO PORTALES,No,,Si,Si,Si,Si,Si,No,No,No,No,ACREDITADA,DE EXCELENCIA,6,2023-11-15,2029-11-15,CNA-CHILE,15/11/2023,COMISIÓN NACIONAL DE ACREDITACION DE CHILE,ACREDITADA,6,15/11/2023,15/11/2029,09/05/2024,COMISIÓN NACIONAL DE ACREDITACION DE CHILE,NO ACOGE,6,15/11/2023,15/11/2029,03/12/2025,CONSEJO NACIONAL DE EDUCACIÓN,NO ACOGE,6,15/11/2023,15/11/2029,ACREDITADA,False,False,2023,Ley 21.091,False,True
U FINIS TERRAE,INST-00069-06-00,UNIVERSIDAD,UNIVERSIDAD FINIS TERRAE,No,,Si,Si,Si,Si,No,No,No,No,No,ACREDITADA,AVANZADO,5,2024-02-29,2029-03-01,CNA-CHILE,29/02/2024,COMISIÓN NACIONAL DE ACREDITACION DE CHILE,ACREDITADA,5,29/02/2024,01/03/2029,,,,,,,,,,,,,ACREDITADA,False,False,2024,Ley 21.091,False,True
U FRONTERA,INST-00052-05-00,UNIVERSIDAD,UNIVERSIDAD DE LA FRONTERA,No,,No,No,No,No,No,Si,Si,Si,Si,ACREDITADA,AVANZADO,5,2025-09-03,2030-09-03,CNA-CHILE,03/09/2025,COMISIÓN NACIONAL DE ACREDITACION DE CHILE,ACREDITADA,5,03/09/2025,03/09/2030,19/11/2025,COMISIÓN NACIONAL DE ACREDITACION DE CHILE,NO ACOGE,5,03/09/2025,03/09/2030,,,,,,,ACREDITADA,False,False,2025,Ley 21.091,False,True
U GABRIELA MISTRAL,INST-00092-06-00,UNIVERSIDAD,UNIVERSIDAD GABRIELA MISTRAL,No,,No,No,No,No,No,Si,Si,Si,No,ACREDITADA,AVANZADO,4,2025-09-24,2029-09-24,CNA-CHILE,24/09/2025,COMISIÓN NACIONAL DE ACREDITACION DE CHILE,ACREDITADA,4,24/09/2025,24/09/2029,,,,,,,,,,,,,ACREDITADA,False,False,2025,Ley 21.091,False,True
U IBEROAMERICANA DE CIENCIAS Y TECNOLOGIA UNICIT,INST-00070-06-00,UNIVERSIDAD,UNIVERSIDAD IBEROAMERICANA DE CIENCIAS Y TECNOLOGÍA UNICIT,No,,No,No,No,No,No,No,No,No,No,NO ACREDITADA,,2,2016-10-26,2018-10-26,,26/10/2016,COMISIÓN NACIONAL DE ACREDITACION DE CHILE,ACREDITADA,2,26/10/2016,26/10/2018,,,,,,,,,,,,,NO ACREDITADA,False,True,2016,Ley 20.129 (régimen anterior),False,False
U LAS AMERICAS,INST-00054-06-00,UNIVERSIDAD,UNIVERSIDAD DE LAS AMÉRICAS,No,,Si,Si,No,Si,No,No,No,No,No,ACREDITADA,AVANZADO,5,2023-03-18,2028-03-18,CNA-CHILE,18/01/2023,COMISIÓN NACIONAL DE ACREDITACION DE CHILE,ACREDITADA,5,18/03/2023,18/03/2028,,,,,,,,,,,,,ACREDITADA,False,False,2023,Ley 21.091,False,True
U LOS ANDES,INST-00055-04-00,UNIVERSIDAD,UNIVERSIDAD DE LOS ANDES,No,,Si,Si,Si,Si,Si,No,No,No,No,ACREDITADA,DE EXCELENCIA,6,2022-12-14,2028-12-14,CNA-CHILE,14/12/2022,COMISIÓN NACIONAL DE ACREDITACION DE CHILE,ACREDITADA,6,14/12/2022,14/12/2028,06/09/2023,COMISIÓN NACIONAL DE ACREDITACION DE CHILE,ACOGE,6,14/12/2022,14/12/2028,,,,,,,ACREDITADA,False,False,2022,Ley 21.091,False,True
U LOS LAGOS,INST-00056-06-00,UNIVERSIDAD,UNIVERSIDAD DE LOS LAGOS,No,,Si,Si,Si,Si,No,No,No,No,No,ACREDITADA,AVANZADO,5,2021-09-09,2026-09-09,CNA-CHILE,09/09/2021,COMISIÓN NACIONAL DE ACREDITACION DE CHILE,ACREDITADA,5,09/09/2021,09/09/2026,,,,,,,,,,,,,ACREDITADA,False,False,2021,Ley 21.091,False,True
U LOS LEONES,INST-10001-01-00,UNIVERSIDAD,UNIVERSIDAD LOS LEONES,No,,No,No,No,No,No,No,No,No,No,NO ACREDITADA,,,,,CNA-CHILE,27/09/2021,COMISIÓN NACIONAL DE ACREDITACION DE CHILE,,,,,,,,,,,,,,,,,NO ACREDITADA,False,False,,Ley 21.091,False,False
U MAGALLANES,INST-00057-07-00,UNIVERSIDAD,UNIVERSIDAD DE MAGALLANES,No,,Si,Si,Si,Si,No,No,No,No,No,ACREDITADA,AVANZADO,5,2023-12-31,2028-12-31,CNA-CHILE,20/12/2023,COMISIÓN NACIONAL DE ACREDITACION DE CHILE,ACREDITADA,5,31/12/2023,31/12/2028,,,,,,,,,,,,,ACREDITADA,False,False,2023,Ley 21.091,False,True
U MAR,INST-00066-03-00,UNIVERSIDAD,UNIVERSIDAD DEL MAR,No,,No,No,No,No,No,No,No,No,No,NO ACREDITADA,,2,2010-12-01,2012-12-01,,01/12/2010,COMISIÓN NACIONAL DE ACREDITACION DE CHILE,ACREDITADA,2,01/12/2010,01/12/2012,,,,,,,,,,,,,NO ACREDITADA,False,True,2010,Ley 20.129 (régimen anterior),False,False
U MAYOR,INST-00081-04-00,UNIVERSIDAD,UNIVERSIDAD MAYOR,No,,Si,Si,Si,Si,No,No,No,No,No,ACREDITADA,AVANZADO,5,2021-10-27,2026-10-27,CNA-CHILE,27/10/2021,COMISIÓN NACIONAL DE ACREDITACION DE CHILE,ACREDITADA,5,27/10/2021,27/10/2026,20/04/2022,COMISIÓN NACIONAL DE ACREDITACION DE CHILE,NO ACOGE,5,27/10/2021,27/10/2026,,,,,,,ACREDITADA,False,False,2021,Ley 21.091,False,True
U METROPOLITANA DE CIENCIAS DE LA EDUCACION,INST-00074-06-00,UNIVERSIDAD,UNIVERSIDAD METROPOLITANA DE CIENCIAS DE LA EDUCACIÓN,No,,Si,Si,No,Si,No,No,No,No,No,ACREDITADA,AVANZADO,4,2023-09-06,2027-09-06,CNA-CHILE,06/09/2023,COMISIÓN NACIONAL DE ACREDITACION DE CHILE,ACREDITADA,4,06/09/2023,06/09/2027,,,,,,,,,,,,,ACREDITADA,False,False,2023,Ley 21.091,False,True
U MIGUEL DE CERVANTES,INST-00120-03-00,UNIVERSIDAD,UNIVERSIDAD MIGUEL DE CERVANTES,No,,No,No,No,No,No,Si,Si,Si,No,ACREDITADA,BÁSICO,3,2025-10-23,2028-10-23,CNA-CHILE,23/10/2025,COMISIÓN NACIONAL DE ACREDITACION DE CHILE,ACREDITADA,3,23/10/2025,23/10/2028,06/05/2026,COMISIÓN NACIONAL DE ACREDITACION DE CHILE,NO ACOGE,3,23/10/2025,23/10/2028,,,,,,,ACREDITADA,False,False,2025,Ley 21.091,False,True
U O HIGGINS,INST-00128-01-00,UNIVERSIDAD,UNIVERSIDAD DE O HIGGINS,No,,Si,Si,Si,Si,No,No,No,No,No,ACREDITADA,AVANZADO,4,2023-04-19,2027-04-19,CNA-CHILE,19/04/2023,COMISIÓN NACIONAL DE ACREDITACION DE CHILE,ACREDITADA,4,19/04/2023,19/04/2027,14/09/2023,COMISIÓN NACIONAL DE ACREDITACION DE CHILE,ACOGE,,,,,,,,,,ACREDITADA,False,False,2023,Ley 21.091,False,True
U PACIFICO,INST-00067-08-00,UNIVERSIDAD,UNIVERSIDAD DEL PACÍFICO,No,,No,No,No,No,No,No,No,No,No,NO ACREDITADA,,,,,CNA-CHILE,27/11/2018,COMISIÓN NACIONAL DE ACREDITACION DE CHILE,NO ACREDITADA,,,,,,,,,,,,,,,,NO ACREDITADA,False,False,,Ley 21.091,False,False
U PLAYA ANCHA DE CIENCIAS DE LA EDUCACION,INST-00058-06-00,UNIVERSIDAD,UNIVERSIDAD DE PLAYA ANCHA DE CIENCIAS DE LA EDUCACIÓN,No,,Si,Si,No,Si,No,No,No,No,No,ACREDITADA,AVANZADO,5,2022-05-25,2027-05-25,CNA-CHILE,25/05/2022,COMISIÓN NACIONAL DE ACREDITACION DE CHILE,ACREDITADA,5,25/05/2022,25/05/2027,,,,,,,,,,,,,ACREDITADA,False,False,2022,Ley 21.091,False,True
U REPUBLICA,INST-00071-02-00,UNIVERSIDAD,UNIVERSIDAD LA REPÚBLICA,No,,No,No,No,No,No,No,No,No,No,NO ACREDITADA,,,,,CNA-CHILE,17/01/2024,COMISIÓN NACIONAL DE ACREDITACION DE CHILE,NO ACREDITADA,,,,17/04/2024,COMISIÓN NACIONAL DE ACREDITACION DE CHILE,NO ACOGE,0,,,14/08/2024,CONSEJO NACIONAL DE EDUCACIÓN,NO ACOGE,0,,,NO ACREDITADA,False,False,,Ley 21.091,False,False
U SAN SEBASTIAN,INST-00073-05-00,UNIVERSIDAD,UNIVERSIDAD SAN SEBASTIÁN,No,,Si,Si,No,Si,No,No,No,No,No,ACREDITADA,AVANZADO,5,2021-10-28,2026-10-28,CNA-CHILE,28/10/2021,COMISIÓN NACIONAL DE ACREDITACION DE CHILE,ACREDITADA,5,28/10/2021,28/10/2026,,,,,,,,,,,,,ACREDITADA,False,False,2021,Ley 21.091,False,True
U SANTIAGO DE CHILE,INST-00059-04-00,UNIVERSIDAD,UNIVERSIDAD DE SANTIAGO DE CHILE,No,,Si,Si,Si,Si,Si,No,No,No,No,ACREDITADA,DE EXCELENCIA,7,2021-02-25,2028-02-25,CNA-CHILE,25/02/2021,COMISIÓN NACIONAL DE ACREDITACION DE CHILE,ACREDITADA,7,25/02/2021,25/02/2028,,,,,,,,,,,,,ACREDITADA,False,False,2021,Ley 21.091,False,True
U SANTO TOMAS,INST-00080-07-00,UNIVERSIDAD,UNIVERSIDAD SANTO TOMÁS,No,,No,No,No,No,No,Si,Si,Si,No,ACREDITADA,AVANZADO,5,2025-12-10,2030-12-10,CNA-CHILE,10/12/2025,COMISIÓN NACIONAL DE ACREDITACION DE CHILE,ACREDITADA,4,10/12/2025,10/12/2029,02/07/2026,COMISIÓN NACIONAL DE ACREDITACION DE CHILE,ACOGE,5,10/12/2025,10/12/2030,,,,,,,ACREDITADA,False,False,2025,Ley 21.091,False,True
U SEK,INST-00084-06-00,UNIVERSIDAD,UNIVERSIDAD SEK,No,,No,No,No,No,No,Si,Si,Si,No,ACREDITADA,BÁSICO,3,2025-10-08,2028-10-08,CNED,04/12/2024,COMISIÓN NACIONAL DE ACREDITACION DE CHILE,NO ACREDITADA,,,,25/06/2025,COMISIÓN NACIONAL DE ACREDITACION DE CHILE,NO ACOGE,0,,,08/10/2025,CONSEJO NACIONAL DE EDUCACIÓN,ACOGE,3,08/10/2025,08/10/2028,ACREDITADA,False,False,2025,Ley 21.091,False,True
U SERENA,INST-00053-05-00,UNIVERSIDAD,UNIVERSIDAD DE LA SERENA,No,,Si,Si,Si,Si,No,No,No,No,No,ACREDITADA,AVANZADO,5,2021-11-03,2026-11-03,CNA-CHILE,03/11/2021,COMISIÓN NACIONAL DE ACREDITACION DE CHILE,ACREDITADA,5,03/11/2021,03/11/2026,25/05/2022,COMISIÓN NACIONAL DE ACREDITACION DE CHILE,ACOGE,5,03/11/2021,03/11/2026,,,,,,,ACREDITADA,False,False,2021,Ley 21.091,False,True
U TALCA,INST-00060-05-00,UNIVERSIDAD,UNIVERSIDAD DE TALCA,No,,No,No,No,No,No,Si,Si,Si,Si,ACREDITADA,DE EXCELENCIA,7,2026-06-11,2033-06-11,CNA-CHILE,11/06/2026,COMISIÓN NACIONAL DE ACREDITACION DE CHILE,ACREDITADA,7,11/06/2026,11/06/2033,,,,,,,,,,,,,ACREDITADA,False,False,2026,Ley 21.091,False,True
U TARAPACA,INST-00061-05-00,UNIVERSIDAD,UNIVERSIDAD DE TARAPACÁ,No,,Si,Si,Si,Si,Si,No,No,No,No,ACREDITADA,DE EXCELENCIA,6,2023-06-22,2029-06-22,CNA-CHILE,22/06/2023,COMISIÓN NACIONAL DE ACREDITACION DE CHILE,ACREDITADA,6,22/06/2023,22/06/2029,,,,,,,,,,,,,ACREDITADA,False,False,2023,Ley 21.091,False,True
U TECNICA FEDERICO SANTA MARIA,INST-00075-04-00,UNIVERSIDAD,UNIVERSIDAD TÉCNICA FEDERICO SANTA MARÍA,No,,Si,Si,Si,Si,Si,No,No,No,No,ACREDITADA,DE EXCELENCIA,6,2022-12-30,2028-12-30,CNA-CHILE,16/11/2022,COMISIÓN NACIONAL DE ACREDITACION DE CHILE,ACREDITADA,6,30/12/2022,30/12/2028,08/03/2023,COMISIÓN NACIONAL DE ACREDITACION DE CHILE,NO ACOGE,6,30/12/2022,30/12/2028,,,,,,,ACREDITADA,False,False,2022,Ley 21.091,False,True
U TECNOLOGICA DE CHILE INACAP,INST-00076-05-00,UNIVERSIDAD,UNIVERSIDAD TECNOLÓGICA DE CHILE INACAP,No,,No,No,No,No,No,No,No,No,No,NO ACREDITADA,,3,2018-11-27,2021-11-27,,31/10/2018,COMISIÓN NACIONAL DE ACREDITACION DE CHILE,ACREDITADA,2,27/11/2018,27/11/2020,30/05/2019,COMISIÓN NACIONAL DE ACREDITACION DE CHILE,ACOGE,3,27/11/2018,27/11/2021,,,,,,,NO ACREDITADA,False,True,2018,Ley 21.091,False,False
U TECNOLOGICA METROPOLITANA,INST-00077-08-00,UNIVERSIDAD,UNIVERSIDAD TECNOLÓGICA METROPOLITANA,No,,No,No,No,No,No,Si,Si,Si,Si,ACREDITADA,AVANZADO,4,2026-03-26,2030-03-26,CNA-CHILE,26/03/2026,COMISIÓN NACIONAL DE ACREDITACION DE CHILE,ACREDITADA,4,26/03/2026,26/03/2030,,,,,,,,,,,,,ACREDITADA,False,False,2026,Ley 21.091,False,True
U UCINF,INST-00050-03-00,UNIVERSIDAD,UNIVERSIDAD UCINF,No,,No,No,No,No,No,No,No,No,No,NO ACREDITADA,,,,,CNA-CHILE,12/12/2012,COMISIÓN NACIONAL DE ACREDITACION DE CHILE,NO ACREDITADA,,,,23/01/2013,COMISIÓN NACIONAL DE ACREDITACION DE CHILE,NO ACOGE,,,,,,,,,,NO ACREDITADA,False,False,,Ley 21.091,False,False
U VALPARAISO,INST-00062-05-00,UNIVERSIDAD,UNIVERSIDAD DE VALPARAÍSO,No,,Si,Si,Si,Si,Si,No,No,No,No,ACREDITADA,DE EXCELENCIA,6,2023-03-08,2029-03-08,CNA-CHILE,08/03/2023,COMISIÓN NACIONAL DE ACREDITACION DE CHILE,ACREDITADA,6,08/03/2023,08/03/2029,,,,,,,,,,,,,ACREDITADA,False,False,2023,Ley 21.091,False,True
U VINA DEL MAR,INST-00063-06-00,UNIVERSIDAD,UNIVERSIDAD VIÑA DEL MAR,No,,Si,Si,No,Si,No,No,No,No,No,ACREDITADA,AVANZADO,4,2023-01-04,2027-01-04,CNA-CHILE,04/01/2023,COMISIÓN NACIONAL DE ACREDITACION DE CHILE,ACREDITADA,4,04/01/2023,04/01/2027,,,,,,,,,,,,,ACREDITADA,False,False,2023,Ley 21.091,False,True
